Analyzer,Port,Baudrate,Timeout,ConfiguredDeviceId,ActiveSend,FtdHz,AverageFilter,LiveDeviceId,Raw,Error
GA01,COM35,115200,0.6,000,False,1,49,012,"YGAS,012,0550.392,04.500,0997.365,03.336,1.2856,1.2861,0.7419,0.7430,03543,04557,02635,020.13,020.14,100.42",
GA02,COM36,115200,0.6,000,False,1,49,,,
GA03,COM37,115200,0.6,000,False,1,49,,,
GA04,COM38,115200,0.6,000,False,1,49,092,"YGAS,092,0528.845,15.806,0.87,0.87,027.19,101.58,0001,2788",
GA05,COM39,115200,0.6,000,False,1,49,,,
GA06,COM40,115200,0.6,000,False,1,49,,,
GA07,COM41,115200,0.6,000,False,1,49,,,
GA08,COM42,115200,0.6,000,False,1,49,079,"YGAS,079,0702.088,02.026,0.99,0.99,027.51,103.12,0001,2770",
