authority_role,component,path,tracked_at_head,sha256,preseal_hard_tolerance_marker,preseal_a_grade_tolerance_marker,preseal_min_samples_marker,component_qc_writer_imported,component_qc_filename_present,is_component_qc_writer_authority,exists,tracked_in_polluted_root,has_grade_tokens,writes_expected_csv,has_ratio_tol_fields,co2_sampler_imports_writer,h2o_sampler_imports_writer,is_mature_threshold_authority
mature_pre_sample_stability_contract,co2,D:\gas_calibrator\_worktrees\v1_5_component_qc_authority_audit_20260713\src\gas_calibrator\tools\run_v1_5_formal_open_flow_sampling.py,True,ba449d548c9be08df3892e31c0e7132f914b0a0fb701a28ef0bb352398383ee3,True,True,True,False,False,False,,,,,,,,
mature_pre_sample_stability_contract,h2o,D:\gas_calibrator\_worktrees\v1_5_component_qc_authority_audit_20260713\src\gas_calibrator\tools\run_v1_5_formal_h2o_open_flow_sampling.py,True,b7ccfa6deac7749341308550ee90ac8cb3d801951999e8d18d1f4092800772a7,True,True,True,False,False,False,,,,,,,,
polluted_root_migration_writer_schema_reference_only,,D:\gas_calibrator\src\gas_calibrator\validation\v1_5_open_flow_quality.py,,07a63eb31ef5e6701d0b0257c699ecc3049e09cd981e1a6e512f52b17833ef0e,,,,,,,True,False,True,True,True,True,True,False
